"ANNEE","C_REGION","L_REGION","C_DEPT","N_DEPT","C_TYP_REG_DECHET","L_TYP_REG_DECHET","TONNAGE_T","VA_POPANNEE","RATIO_KG_HAB"
"2009","44","Grand Est","52","Haute-Marne","08C","Verre",7348.12,185214,39.67
"2009","44","Grand Est","54","Meurthe-et-Moselle","08A","Ordures ménagères résiduelles",215342.69,731019,294.58
"2009","44","Grand Est","54","Meurthe-et-Moselle","08B","Emballages, journaux-magazines",33734.2,731019,46.15
"2009","44","Grand Est","54","Meurthe-et-Moselle","08C","Verre",20763.4,731019,28.4
"2009","44","Grand Est","54","Meurthe-et-Moselle","08D","Déchets de produits alimentaires",110,731019,0.15
"2009","44","Grand Est","55","Meuse","08A","Ordures ménagères résiduelles",51569.32,194003,265.82
"2009","44","Grand Est","55","Meuse","08B","Emballages, journaux-magazines",8878.37,194003,45.76
"2009","44","Grand Est","55","Meuse","08C","Verre",6777.5,194003,34.94
"2009","44","Grand Est","57","Moselle","08A","Ordures ménagères résiduelles",325123.13,1044898,311.15
"2009","44","Grand Est","57","Moselle","08B","Emballages, journaux-magazines",55233.53,1044898,52.86
"2009","44","Grand Est","57","Moselle","08C","Verre",29797.23,1044898,28.52
"2009","44","Grand Est","67","Bas-Rhin","08A","Ordures ménagères résiduelles",293269.04,1094439,267.96
"2009","44","Grand Est","67","Bas-Rhin","08B","Emballages, journaux-magazines",51533.95,1094439,47.09
"2009","44","Grand Est","67","Bas-Rhin","08C","Verre",31164.09,1094439,28.47
"2009","44","Grand Est","68","Haut-Rhin","08A","Ordures ménagères résiduelles",191958.07,748614,256.42
"2009","44","Grand Est","68","Haut-Rhin","08B","Emballages, journaux-magazines",36415.79,748614,48.64
"2009","44","Grand Est","68","Haut-Rhin","08C","Verre",25847,748614,34.53
"2009","44","Grand Est","68","Haut-Rhin","08D","Déchets de produits alimentaires",533,748614,0.71
"2009","44","Grand Est","88","Vosges","08A","Ordures ménagères résiduelles",104381.96,380192,274.55
"2009","44","Grand Est","88","Vosges","08B","Emballages, journaux-magazines",14492.91,380192,38.12
"2009","44","Grand Est","88","Vosges","08C","Verre",15433.93,380192,40.6
"2009","32","Hauts-de-France","02","Aisne","08A","Ordures ménagères résiduelles",144809.76,539870,268.23
"2009","32","Hauts-de-France","02","Aisne","08B","Emballages, journaux-magazines",26051.32,539870,48.25
"2009","32","Hauts-de-France","02","Aisne","08C","Verre",21739.32,539870,40.27
