"code_sous-categorie","pourcentage_bennes_TV","IC_pourcentage_bennes_TV","pourcentage_bennes_metaux","IC_pourcentage_bennes_metaux","pourcentage_bennes_bois","IC_pourcentage_bennes_bois","pourcentage_bennes_EA","IC_pourcentage_bennes_EA","tonnage_bennes_TV","IC_tonnage_bennes_TV","tonnage_bennes_metaux","IC_tonnage_bennes_metaux","tonnage_bennes_bois","IC_tonnage_bennes_bois","tonnage_bennes_EA","IC_tonnage_bennes_EA","ratio_bennes_TV","IC_ratio_bennes_TV","ratio_bennes_metaux","IC_ratio_bennes_metaux","ratio_bennes_bois"," IC_ratio_bennes_bois "," ratio_bennes_EA ","IC_ratio_bennes_EA"
"10.12","0,1%","0,1%","2,7%","1,0%","0,0%","0,0%","0,1%","0,1%",3548,1147,"12 807","4 794",83,68,"493","511",0.1,0,"0,2","0,1",0,0,"0,01","0,01"
"10.13","0,1%","0,1%","1,7%","0,8%","0,0%","0,0%","0,0%","0,0%",3774,1345,"8 267","3 616",58,53,"96","107",0.1,0,"0,1","0,1",0,0,"0,00","0,00"
"11.01","1,8%","0,5%","0,2%","0,2%","0,0%","0,0%","16,6%","2,9%",52383,10624,"858","769",331,210,"160 840","28 654",0.8,0.2,"0,0","0,0",0,0,"2,43","0,43"
"11.02","0,1%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%",2044,817,"130","177",8,9,"80","161",0,0,"0,0","0,0",0,0,"0,00","0,00"
"11.03","2,9%","0,7%","0,0%","0,0%","0,1%","0,0%","0,1%","0,1%",84261,15977,"22","33",610,540,"921","790",1.3,0.2,"0,0","0,0",0,0.01,"0,01","0,01"
"11.04","0,1%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%",2169,929,"101","161",8,9,"108","185",0,0,"0,0","0,0",0,0,"0,00","0,00"
"11.05","0,8%","0,3%","0,1%","0,1%","0,0%","0,0%","0,2%","0,2%",22949,6265,"410","519",19,14,"1 826","1 933",0.3,0.1,"0,0","0,0",0,0,"0,03","0,03"
"12.01","0,2%","0,1%","0,0%","0,1%","0,0%","0,0%","0,0%","0,0%",4393,1448,"193","322",47,46,"103","154",0.1,0,"0,0","0,0",0,0,"0,00","0,00"
"12.02","11,2%","1,7%","0,4%","0,3%","0,1%","0,1%","0,3%","0,2%",322453,42860,"1 955","1 266",1395,947,"2 706","1 990",4.9,0.6,"0,0","0,0",0,0.01,"0,04","0,03"
"12.03","2,3%","0,6%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%",67171,14125,"62","70",74,69,"30","40",1,0.2,"0,0","0,0",0,0,"0,00","0,00"
"12.04","4,0%","1,2%","0,0%","0,0%","0,0%","0,1%","0,0%","0,0%",115626,28888,"28","22",545,860,"10","10",1.8,0.4,"0,0","0,0",0,0.01,"0,00","0,00"
"12.05","4,5%","1,3%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%",128373,29548,"123","105",419,391,"10","10",1.9,0.4,"0,0","0,0",0,0.01,"0,00","0,00"
"12.06","0,3%","0,2%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%",8737,5341,"28","22",84,85,"10","10",0.1,0.1,"0,0","0,0",0,0,"0,00","0,00"
"12.07","0,1%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%",1507,843,"28","22",47,46,"10","10",0,0,"0,0","0,0",0,0,"0,00","0,00"
"12.08","1,0%","0,4%","0,1%","0,1%","0,0%","0,0%","0,2%","0,1%",28319,8237,"703","566",154,158,"1 527","1 433",0.4,0.1,"0,0","0,0",0,0,"0,02","0,02"
"13.01","0,1%","0,0%","0,0%","0,1%","0,0%","0,0%","0,0%","0,0%",2688,1247,"200","250",31,50,"29","37",0,0,"0,0","0,0",0,0,"0,00","0,00"
"13.02","0,0%","0,0%","1,0%","0,4%","0,0%","0,0%","0,0%","0,0%",761,565,"4 977","2 121",4,5,"-","-",0,0,"0,1","0,0",0,0,"-","-"
"13.03","1,6%","0,4%","6,6%","1,7%","0,1%","0,1%","0,4%","0,3%",45679,9562,"31 931","7 975",1499,1001,"4 131","2 504",0.7,0.1,"0,5","0,1",0,0.02,"0,06","0,04"
"13.04","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%",165,217,"2","4",4,5,"-","-",0,0,"0,0","0,0",0,0,"-","-"
"13.05","0,4%","0,1%","0,5%","0,3%","0,0%","0,0%","0,0%","0,0%",11799,3218,"2 198","1 354",20,25,"51","86",0.2,0,"0,0","0,0",0,0,"0,00","0,00"
"13.06","0,1%","0,1%","0,3%","0,2%","0,0%","0,0%","0,0%","0,0%",3207,1489,"1 321","982",14,20,"55","82",0,0,"0,0","0,0",0,0,"0,00","0,00"
"13.07","0,1%","0,1%","0,1%","0,1%","0,0%","0,0%","0,0%","0,0%",2874,1128,"436","296",40,61,"-","-",0,0,"0,0","0,0",0,0,"-","-"
"13.08","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%",211,240,"22","30",4,5,"-","-",0,0,"0,0","0,0",0,0,"-","-"
"14.01","11,2%","1,1%","1,3%","0,4%","2,4%","0,6%","0,9%","0,5%",324108,26412,"6 480","2 127",27078,6251,"8 917","5 277",4.9,0.4,"0,1","0,0",0.4,0.09,"0,13","0,08"
